driver_id,date,hours_driven,distance_km,overworked
205,1974-07-05,9,224,False
369,2017-09-09,5,119,False
668,2021-01-18,4,263,False
181,2020-12-22,14,618,True
65,1983-09-24,5,525,False
507,1972-04-22,5,761,False
981,2001-08-14,6,786,False
708,2022-09-29,5,660,False
293,2004-05-25,13,168,True
49,2005-03-21,13,265,True
585,2019-05-28,10,226,False
572,2008-03-06,12,227,True
262,2001-03-19,13,675,True
3,2016-04-24,14,94,True
504,1981-11-06,14,243,True
357,1976-08-18,12,655,True
18,2012-03-18,10,106,False
152,1970-02-15,11,787,True
113,2020-04-01,4,791,False
608,1981-03-01,10,539,False
892,2026-04-20,9,361,False
931,2006-02-17,5,123,False
298,1983-10-09,4,87,False
438,1985-09-09,14,114,True
712,2020-02-10,4,649,False
675,1970-01-11,10,51,False
672,2022-12-19,9,744,False
546,1991-03-11,13,682,True
645,1975-09-17,14,566,True
561,2015-12-29,4,542,False
868,2017-06-01,6,760,False
854,1980-06-27,8,705,False
498,1988-09-06,5,482,False
557,1970-01-08,10,580,False
46,1983-06-06,6,133,False
402,1998-04-18,10,273,False
905,2017-04-03,8,148,False
457,2018-08-28,11,603,True
813,2014-05-16,13,324,True
40,1975-01-21,4,167,False
489,1994-01-04,9,723,False
665,1986-04-28,13,182,True
225,1976-03-04,14,244,True
368,2018-06-22,8,318,False
631,1985-09-18,13,81,True
30,2015-10-03,9,179,False
122,1997-10-13,13,135,True
642,2017-10-03,14,573,True
615,2006-12-11,6,314,False
326,2001-07-27,13,304,True
929,2011-10-18,13,325,True
659,1988-08-23,4,526,False
7,1977-09-14,5,384,False
415,1978-01-12,14,112,True
769,2000-08-18,7,389,False
562,1973-04-14,7,200,False
288,1987-09-16,12,308,True
363,2016-05-16,13,152,True
155,1980-07-09,5,269,False
108,2000-02-04,11,250,True
813,1992-02-21,6,174,False
711,1977-03-05,6,576,False
174,1991-09-15,13,594,True
291,1972-10-07,8,128,False
256,2017-07-21,10,66,False
669,2021-10-05,12,515,True
519,2024-12-29,11,498,True
969,1992-05-12,11,76,True
723,2008-03-24,13,773,True
419,2022-01-29,7,633,False
539,1980-03-28,14,331,True
655,1973-06-02,9,281,False
888,1978-11-19,8,229,False
214,2001-01-26,13,604,True
724,1993-05-13,5,610,False
782,2016-03-29,4,418,False
171,2025-04-21,6,487,False
247,1978-02-21,14,363,True
448,1976-06-28,14,237,True
462,1989-09-18,14,119,True
35,2017-11-17,10,711,False
199,2005-12-31,4,152,False
955,1991-01-31,11,66,True
4,2025-04-04,11,347,True
446,2016-10-31,8,194,False
455,2007-04-26,9,110,False
757,2021-10-30,7,102,False
516,1987-09-13,10,213,False
741,2006-10-06,13,536,True
247,1979-02-24,12,564,True
1,1982-06-24,10,476,False
517,2001-12-14,9,306,False
484,1974-06-26,6,302,False
749,1988-08-01,11,522,True
392,1984-04-25,10,729,False
274,1996-10-31,7,83,False
197,2006-07-23,13,567,True
10,2023-06-02,11,585,True
783,2007-10-16,9,566,False
428,1980-06-18,10,582,False
141,2007-02-25,13,231,True
449,1993-03-06,13,526,True
934,1987-03-16,7,61,False
857,1983-09-10,10,279,False
700,2015-02-16,10,461,False
680,1994-05-05,11,620,True
11,1990-04-18,13,724,True
678,1992-08-12,12,94,True
723,1998-11-02,13,67,True
277,2024-03-09,4,621,False
757,2009-12-12,14,106,True
946,2010-02-03,4,374,False
474,1995-02-17,7,412,False
62,1991-08-24,12,575,True
94,2024-04-15,9,548,False
394,2023-02-10,11,271,True
841,2022-12-11,4,696,False
776,2022-05-20,10,75,False
528,2021-03-26,8,417,False
51,2022-01-06,6,412,False
973,1980-05-09,8,573,False
521,1999-07-20,5,307,False
883,1981-03-09,8,479,False
9,1988-04-29,13,731,True
525,1987-07-04,9,567,False
750,1982-09-22,8,461,False
719,1994-02-22,10,784,False
559,1976-10-12,8,94,False
651,2007-04-30,11,401,True
888,1988-04-29,8,93,False
596,2015-10-15,5,143,False
962,2016-06-25,9,534,False
246,2009-07-16,13,756,True
470,2020-03-29,6,156,False
330,1988-03-18,5,777,False
705,1983-12-18,5,622,False
597,1976-09-24,4,468,False
507,1986-01-04,6,272,False
325,1986-11-14,9,75,False
947,2021-05-26,10,228,False
179,2022-01-09,11,523,True
423,1989-07-13,14,547,True
516,2001-05-25,10,784,False
213,1978-06-10,13,355,True
206,2023-04-23,8,496,False
606,1985-08-17,13,94,True
412,1986-05-25,8,293,False
855,1987-07-23,12,286,True
532,1989-03-03,7,117,False
135,2002-03-14,14,66,True
175,1972-01-23,13,162,True
512,1985-08-11,12,569,True
416,1974-05-25,14,489,True
211,1971-04-03,8,189,False
476,2018-10-19,8,280,False
124,2014-06-08,9,242,False
357,1994-10-28,12,531,True
184,1973-08-03,7,186,False
177,2019-09-02,5,744,False
940,1980-02-10,13,396,True
932,2008-07-04,10,66,False
784,1995-04-08,12,553,True
559,2004-07-08,11,162,True
624,1998-07-11,14,716,True
525,2008-07-23,9,50,False
739,2012-03-19,11,623,True
706,2023-06-27,13,183,True
355,1972-01-29,6,54,False
608,2010-06-27,4,159,False
963,2009-11-04,4,72,False
847,2010-12-21,5,514,False
28,1992-03-01,6,665,False
42,1999-09-18,7,211,False
869,2025-10-27,12,151,True
858,2003-11-14,7,318,False
970,1987-05-21,9,697,False
88,1990-06-10,13,120,True
920,2007-11-13,13,725,True
788,1993-11-23,8,404,False
452,2014-05-05,6,435,False
45,1971-09-15,14,83,True
38,2006-12-17,4,145,False
612,1980-03-25,4,201,False
298,1985-05-06,5,299,False
715,2022-04-07,13,271,True
657,1998-11-03,13,547,True
718,2004-05-17,8,509,False
420,2002-08-03,10,524,False
913,2015-09-11,11,220,True
29,1971-09-26,10,152,False
160,2000-08-25,14,635,True
718,1972-04-22,12,147,True
983,2013-05-11,5,686,False
31,1983-02-25,5,387,False
543,1974-01-04,6,283,False
701,1981-06-02,9,528,False
50,2017-03-01,10,66,False
545,1987-10-22,8,130,False
836,1974-12-01,10,388,False
956,1979-12-07,6,181,False
599,1987-10-23,6,198,False
466,1999-08-15,5,521,False
348,2005-04-14,4,233,False
218,1996-03-09,9,469,False
567,1996-03-11,7,469,False
955,2012-08-23,4,729,False
832,2024-11-24,8,658,False
199,1993-09-02,5,249,False
705,1995-11-05,7,687,False
876,2007-09-24,5,646,False
20,2005-12-12,8,589,False
303,2008-04-14,14,523,True
870,2019-08-19,14,379,True
831,1977-02-26,8,734,False
273,2025-09-28,7,449,False
32,2025-06-06,12,134,True
7,1996-12-29,10,691,False
825,2024-04-24,11,683,True
701,2000-12-06,11,278,True
767,2003-12-03,11,447,True
812,1993-06-26,10,55,False
889,2015-09-10,9,507,False
874,2024-01-18,6,80,False
822,2019-09-01,10,401,False
137,2005-06-22,5,188,False
874,1998-11-22,5,70,False
811,1980-03-01,14,229,True
118,2000-04-02,14,432,True
990,2020-04-15,13,576,True
840,2025-07-11,8,289,False
689,1995-05-19,6,420,False
504,1983-06-15,6,116,False
902,2004-03-13,10,68,False
918,1976-03-12,7,459,False
226,1992-03-23,12,419,True
